Name,Team,POS,ADP,IP,mW,mSV,mERA,mSO,mHLD,PTS,aPOS,Dollars,Adjusted,Cost,NameASCII,PlayerId,MLBAMID
"Tarik Skubal ","DET","SP",7.019999980926514,202,14.3707533424371,-4.07339261102802,25.940265828331416,16.0999782476058,-6.73817006320034,45.59943474414597,10.619999995417226,57.2194347395632,74.61615305166488,16,"Tarik Skubal","22267",669373
"Paul Skenes ","PIT","SP",9.649999618530273,191,12.5823929274432,-4.07339261102802,18.486894673173516,14.0495194795264,-6.73817006320034,34.30724440591484,10.619999995417226,45.92724440133207,60.25603551998336,20,"Paul Skenes","33677",694973
"Garrett Crochet ","BOS","SP",12.239999771118164,199,12.5823929274432,-4.07339261102802,14.005388132759968,15.9793630259541,-6.73817006320034,31.755581411928855,10.619999995417226,43.37558140734608,56.982243365804074,8,"Garrett Crochet","27463",676979
"Cristopher Sánchez ","PHI","SP",24.75,202,14.3707533424371,-4.07339261102802,6.805049133526581,11.1547541598852,-6.73817006320034,21.518993961620506,10.619999995417226,33.138993957037734,43.73998011627833,17,"Cristopher Sanchez","20778",650911
"Mason Miller ","SDP","RP",27.860000610351562,66,-3.51285080750227,15.3919928836906,13.80949227010866,-1.5098441135457,-4.73372106825381,19.4450691644974,10.619999995417226,31.06506915991463,41.0357062016661,7,"Mason Miller","31757",695243
"Bryan Woo ","SEA","SP",34.77000045776367,197,12.5823929274432,-4.07339261102802,5.558156420460941,11.3959846031886,-6.73817006320034,18.724971276864373,10.619999995417226,30.344971272281597,40.09504083144244,18,"Bryan Woo","30279",693433
"Chris Sale ","ATL","SP",39.36000061035156,162,9.00567209745531,-4.07339261102802,8.605425395035276,10.1898323866714,-6.73817006320034,16.9893672049336,10.619999995417226,28.609367200350828,37.82420410530814,10,"Chris Sale","10603",519242
"Edwin Díaz ","LAD","RP",33,66,-3.51285080750227,17.8251660705304,7.921733287091788,-2.71599633006292,-3.73149657078054,15.786555649276389,10.619999995417226,27.406555644693615,36.24746100296081,17,"Edwin Diaz","14710",621242
"Grant Taylor ","CHW","RP",506.67999267578125,92,0.0638700224856139,-1.03192612747825,7.340264615412829,0.419999432881863,8.29519739889868,15.087405342200727,10.619999995417226,26.707405337617953,35.91305839263443,,"Grant Taylor","33927",691799
"Jhoan Duran ","PHI","RP",41.84000015258789,70,-1.72449039250832,13.5671129935606,10.096799254147667,-3.43968765997326,-3.73149657078054,14.768237624446193,10.619999995417226,26.388237619863418,34.910639897481424,11,"Jhoan Duran","21029",661395
"Logan Gilbert ","SEA","SP",37.150001525878906,164,9.00567209745531,-4.07339261102802,6.74907888705478,8.50121928354727,-6.73817006320034,13.444407593828995,10.619999995417226,25.064407589246223,33.68171393859377,,"Logan Gilbert","22250",669302
"Logan Webb ","SFG","SP",57.189998626708984,205,10.7940325124493,-4.07339261102802,2.5485896258016103,10.4310628299748,-6.73817006320034,12.962122293997325,10.619999995417226,24.582122289414556,32.535261464150956,37,"Logan Webb","17995",657277
"Cade Smith ","CLE","RP",39.90999984741211,70,-3.51285080750227,14.1754062902706,8.62485950839345,-2.95722677336637,-3.73149657078054,12.598691647014878,10.619999995417226,24.218691642432102,32.05660743902298,10,"Cade Smith","27867",671922
"Framber Valdez ","DET","SP",81.13999938964844,194,12.5823929274432,-4.07339261102802,0.9829774536606053,9.10429539180588,-6.73817006320034,11.858103098681312,10.619999995417226,23.47810309409854,31.527364219505344,,"Framber Valdez","17295",664285
"Andrés Muñoz ","SEA","RP",41.189998626708984,64,-3.51285080750227,12.9588196968507,9.778079795072285,-3.6809181032767,-3.73149657078054,11.811634010363473,10.619999995417226,23.431634005780694,31.46425485577974,,"Andres Munoz","20373",662253
"Devin Williams ","NYM","RP",59.470001220703125,64,-3.51285080750227,15.3919928836906,6.834200303563849,-3.56030288162498,-3.73149657078054,11.421542927346575,10.619999995417226,23.041542922763803,30.504695417598302,6,"Devin Williams","15816",642207
"Zack Wheeler ","PHI","SP",110.48999786376953,157,9.00567209745531,-4.07339261102802,4.4146531904612,8.62183450519899,-6.73817006320034,11.230597118887138,10.619999995417226,22.850597114304367,30.675152468589243,,"Zack Wheeler","10310",554430
"Griffin Jax ","TBR","RP",149.2100067138672,68,-3.51285080750227,3.22612694949143,9.009266270619728,-3.19845721666981,5.28852390647888,10.812609102417948,10.619999995417226,22.432609097835176,30.10748568795714,,"Griffin Jax","20253",643377
"Max Fried ","NYY","SP",50.04999923706055,188,12.5823929274432,-4.07339261102802,0.6642579945852224,8.1393736185921,-6.73817006320034,10.574461866392147,10.619999995417226,22.194461861809373,29.38645983999236,41,"Max Fried","13743",608331
"Yoshinobu Yamamoto ","LAD","SP",26.639999389648438,155,10.7940325124493,-4.07339261102802,3.32712020693326,7.0538366237266,-6.73817006320034,10.363426668880743,10.619999995417226,21.983426664297973,29.10767916737637,43,"Yoshinobu Yamamoto","33825",808967
"Aroldis Chapman ","BOS","RP",64.55000305175781,62,-3.51285080750227,14.7836995869806,5.746667320035909,-3.07784199501809,-4.73372106825381,9.205953036242306,10.619999995417226,20.825953031659534,27.57727409756309,9,"Aroldis Chapman","10233",547973
"George Kirby ","SEA","SP",64.58000183105469,172,9.00567209745531,-4.07339261102802,3.739512092395449,6.93322140207488,-6.73817006320034,8.866842917697271,10.619999995417226,20.486842913114497,27.128466806263855,10,"George Kirby","25436",669923
