IDPLAYER,PLAYERNAME,FIRSTNAME,LASTNAME,IDFANGRAPHS,FANGRAPHSNAME,MLBID,MLBNAME,CBSID,CBSNAME,BREFID,ESPNID,ESPNNAME,BPID,FANTPROSNAME,LASTCOMMAFIRST,RAZZBALLNAME
ramiryo01,Yohan Ramirez,Yohan,Ramirez,19444,Yohan Ramirez,670990,Yohan Ramirez,2825274,Yohan Ramirez,ramiryo01,,,109030,Yohan Ramirez,"Ramirez, Yohan",Yohan Ramirez
pozoyo01,Yohel Pozo,Yohel,Pozo,18848,Yohel Pozo,650968,Yohel Pozo,2227767,Yohel Pozo,pozoyo01,,Yohel Pozo,104515,Yohel Pozo,"Pozo, Yohel",Yohel Pozo
sanchca01,Yolmer Sanchez,Yolmer,Sanchez,11602,Yolmer Sanchez,570560,Yolmer Sanchez,1956971,Yolmer Sanchez,sanchca01,32264,Yolmer Sanchez,66288,Yolmer Sanchez,"Sanchez, Yolmer",Yolmer Sanchez
dazayo01,Yonathan Daza,Yonathan,Daza,15794,Yonathan Daza,602074,Yonathan Daza,2171204,Yonathan Daza,dazayo01,34086,Yonathan Daza,69440,Yonathan Daza,"Daza, Yonathan",Yonathan Daza
chiriyo01,Yonny Chirinos,Yonny,Chirinos,16401,Yonny Chirinos,630023,Yonny Chirinos,2822004,Yonny Chirinos,chiriyo01,39823,Yonny Chirinos,102336,Yonny Chirinos,"Chirinos, Yonny",Yonny Chirinos
hernayo01,Yonny Hernandez,Yonny,Hernandez,19432,Yonny Hernandez,660634,Yonny Hernandez,2803312,Yonny Hernandez,hernayo02,,Yonny Hernandez,106153,Yonny Hernandez,"Hernandez, Yonny",Yonny Hernandez
alvaryo01,Yordan Alvarez,Yordan,Alvarez,19556,Yordan Alvarez,670541,Yordan Alvarez,2507341,Yordan Alvarez,alvaryo01,36018,Yordan Alvarez,109147,Yordan Alvarez,"Alvarez, Yordan",Yordan Alvarez
tsutsyo01,Yoshitomo Tsutsugo,Yoshitomo,Tsutsugo,27459,Yoshi Tsutsugo,660294,Yoshi Tsutsugo,3152268,Yoshitomo Tsutsugo,tsutsyo01,,Yoshitomo Tsutsugo,139165,Yoshi Tsutsugo,"Tsutsugo, Yoshitomo",Yoshi Tsutsugo
changyu01,Yu Chang,Yu,Chang,14773,Yu Chang,644374,Yu Chang,2169720,Yu Chang,changyu01,33876,Yu Chang,103985,Yu Chang,"Chang, Yu",Yu Chang
darviyu01,Yu Darvish,Yu,Darvish,13074,Yu Darvish,506433,Yu Darvish,1937347,Yu Darvish,darviyu01,32055,Yu Darvish,53155,Yu Darvish,"Darvish, Yu",Yu Darvish
