Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
Spencer Strider,ATL,14.6235,6.9592,19.2751,3.18206,30.78,30.78,0,0,184.802,752.143,138.548,70.4316,65.3389,21.0674,61.9458,,7.8749,257.098,12.5209,3.01681,4.15036,1.026,0.34182,0.0823591,0.259461015462875,0.203053,1.08491,0.29068,0.7606,0.371295,,3.08807,4.93826,5.20743,7.36999988555908,,,,27498
Zack Wheeler,PHI,13.2121,9.6314,19.638,3.5416,32,32,0,0,197.442,812.185,178.924,84.4486,77.6956,24.0441,47.4356,,9.3442,200.002,9.11669,2.16226,4.21629,1.096,0.246252,0.0584049,0.18784699216485,0.236858,1.14646,0.291478,0.736442,0.438131,,3.67495,4.72515,4.67184,25.5699996948242,,,,10310
Kevin Gausman,TOR,13.121,9.48,19.1968,3.47552,32,32,0,0,193.298,797.433,167.195,80.9024,74.6455,24.5918,51.6178,,5.1163,221.541,10.315,2.40334,4.29195,1.145,0.277818,0.06473,0.213087886571884,0.225727,1.132,0.288341,0.747951,0.407655,,3.49722,4.34699,4.14222,26.9099998474121,,,,14107
Aaron Nola,PHI,12.568,10.1654,18.3187,3.80846,32,32,0,0,195.107,807.895,182.227,89.118,82.5618,27.8786,44.368,,6.813,202.006,9.31826,2.04663,4.55297,1.286,0.25004,0.054918,0.19512202963233,0.240813,1.16139,0.292976,0.732956,0.422704,,3.82884,4.23235,4.00146,50.4900016784668,,,,16149
Logan Webb,SFG,12.3658,10.7498,20.3239,3.52847,32,32,0,0,201.377,842.934,202.496,87.4385,78.9502,17.6317,44.4445,,8.1132,181.052,8.09164,1.98633,4.07367,0.788,0.214788,0.052726,0.162061918526888,0.256202,1.22626,0.312433,0.717649,0.562293,,3.3781,4.08389,3.89069,61.3699989318848,,,,17995
Framber Valdez,HOU,13.9219,8.3286,20.3238,3.38599,30.78,30.78,0,0,195.497,810.855,179.492,81.4591,73.5502,16.7693,62.6507,,9.8705,197.853,9.10844,2.88422,3.15803,0.772,0.244005,0.077265,0.16674005240202,0.243104,1.2386,0.310711,0.734837,0.570289,,3.45893,4.06844,4.4522,60.2900009155273,,,,17295
Pablo López,MIN,12.8218,9.7907,19.0413,3.51825,32,32,0,0,193.266,801.268,171.722,82.1208,75.5509,22.3974,53.2948,,8.8156,214.631,9.99492,2.48183,4.02724,1.043,0.267864,0.0665131,0.201351001858711,0.232321,1.16429,0.297382,0.737868,0.440201,,3.50462,4.06501,4.08104,35.1100006103516,,,,17085
Tarik Skubal,DET,11.3583,8.9686,17.1302,3.33728,29.16,29.16,0,0,171.185,702.441,148.218,69.0615,63.4769,19.5531,46.3864,,6.3817,197.583,10.3879,2.43875,4.25951,1.028,0.281281,0.066036,0.215244986116886,0.228143,1.13681,0.297467,0.75072,0.431199,,3.35626,4.02145,4.15122,49.7999992370606,,,,22267
Corbin Burnes,MIL,12.2533,10.6172,19.0111,3.70725,32,32,0,0,197.174,827.766,175.585,88.2038,81.2192,24.6029,62.6089,,9.194,218.198,9.95966,2.85778,3.4851,1.123,0.263599,0.075636,0.187963142991066,0.232267,1.20804,0.29422,0.736149,0.447195,,3.75637,3.79067,4.01653,24.3700008392334,,,,19361
Tyler Glasnow,LAD,11.2959,6.8319,15.1314,3.47921,25.92,25.92,0,0,154.066,631.934,128.389,64.5706,59.5585,18.7618,47.5353,,4.2359,191.813,11.2051,2.77686,4.03517,1.096,0.303533,0.0752219,0.228311024606228,0.221298,1.14188,0.29662,0.744055,0.442856,,3.35624,3.71254,3.39787,38.0299987792969,,,,14374
Zac Gallen,ARI,12.3871,10.426,18.4658,3.82229,32,32,0,0,196.31,824.139,185.425,90.1883,83.3726,23.9498,54.1286,,8.1952,202.688,9.2924,2.48157,3.74456,1.098,0.245939,0.065679,0.180260002613068,0.243399,1.22028,0.301723,0.72499,0.427325,,3.72849,3.61319,3.87515,38.939998626709,,,,19291
Gerrit Cole,NYY,13.5044,9.4863,19.4103,3.73061,32,32,0,0,200.133,830.084,177.285,89.3713,82.9577,29.2417,53.2291,,6.5369,224.963,10.1166,2.39371,4.22631,1.315,0.271012,0.064125,0.206887140870094,0.230145,1.1518,0.286842,0.744519,0.399444,,3.80225,3.56858,3.60886,12.8299999237061,,,,13125
Max Fried,ATL,13.6555,7.9573,17.9175,3.57245,30.78,30.78,0,0,184.58,772.623,180.68,80.4065,73.2668,20.1397,46.447,,6.9551,176.469,8.60455,2.26473,3.79937,0.982,0.228403,0.060116,0.168286859989166,0.251216,1.23051,0.307188,0.737543,0.497557,,3.62932,3.53265,4.11385,62.9099998474121,,,,13743
